scenario_id,detector,view,block,sigma,direction,status,fa_raw_100,fa_conf_100,t_fault,t_clean,alarm_advance,latency,latency_raw,penalized_delay,pre_onset_fpr,had_pre_onset_alarm,operational_success,conditional_success
A_add_T48_ramp15_0p25_pos_u11,t2_xsw,native,A,0.25,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,t2_xsw,comparison,A,0.25,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,t2_regime,native,A,0.25,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,t2_regime,comparison,A,0.25,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,spe_xs,native,A,0.25,1,clean_detected,,,55,,5,28,27,28,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_xs,comparison,A,0.25,1,clean_detected,,,54,,6,27,24,27,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_xsw,native,A,0.25,1,clean_detected,,,55,,5,28,27,28,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_xsw,comparison,A,0.25,1,clean_detected,,,57,,3,30,27,30,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_regime,native,A,0.25,1,clean_detected,,,36,,24,9,8,9,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_regime,comparison,A,0.25,1,clean_detected,,,39,,21,12,9,12,0.0,False,True,True
A_add_T48_ramp15_0p25_neg_u11,cusum_xs,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,cusum_xs,comparison,A,0.25,-1,miss,,,,,,,18,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,cusum_xsw,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,cusum_xsw,comparison,A,0.25,-1,miss,,,,,,,18,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,cusum_regime,native,A,0.25,-1,clean_detected,,,53,,7,26,25,26,0.0,False,True,True
A_add_T48_ramp15_0p25_neg_u11,cusum_regime,comparison,A,0.25,-1,clean_detected,,,51,,9,24,21,24,0.0,False,True,True
A_add_T48_ramp15_0p25_neg_u11,t2_xs,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_xs,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_xsw,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_xsw,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_regime,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_regime,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_xs,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_xs,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_xsw,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_xsw,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_regime,native,A,0.25,-1,clean_detected,,,36,,24,9,8,9,0.0,False,True,True
A_add_T48_ramp15_0p25_neg_u11,spe_regime,comparison,A,0.25,-1,clean_detected,,,39,,21,12,9,12,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,cusum_xs,native,A,0.35,1,clean_detected,,,44,,16,17,16,17,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,cusum_xs,comparison,A,0.35,1,clean_detected,,,45,,15,18,15,18,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,cusum_xsw,native,A,0.35,1,clean_detected,,,44,,16,17,16,17,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,cusum_xsw,comparison,A,0.35,1,clean_detected,,,45,,15,18,15,18,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,cusum_regime,native,A,0.35,1,clean_detected,,,47,,13,20,19,20,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,cusum_regime,comparison,A,0.35,1,clean_detected,,,48,,12,21,18,21,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,t2_xs,native,A,0.35,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_pos_u11,t2_xs,comparison,A,0.35,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p35_pos_u11,t2_xsw,native,A,0.35,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_pos_u11,t2_xsw,comparison,A,0.35,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p35_pos_u11,t2_regime,native,A,0.35,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_pos_u11,t2_regime,comparison,A,0.35,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_pos_u11,spe_xs,native,A,0.35,1,clean_detected,,,51,,9,24,21,24,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,spe_xs,comparison,A,0.35,1,clean_detected,,,45,,15,18,15,18,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,spe_xsw,native,A,0.35,1,clean_detected,,,48,,12,21,20,21,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,spe_xsw,comparison,A,0.35,1,clean_detected,,,48,,12,21,18,21,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,spe_regime,native,A,0.35,1,clean_detected,,,33,,27,6,5,6,0.0,False,True,True
A_add_T48_ramp15_0p35_pos_u11,spe_regime,comparison,A,0.35,1,clean_detected,,,36,,24,9,6,9,0.0,False,True,True
A_add_T48_ramp15_0p35_neg_u11,cusum_xs,native,A,0.35,-1,clean_detected,,,43,,17,16,15,16,0.0,False,True,True
A_add_T48_ramp15_0p35_neg_u11,cusum_xs,comparison,A,0.35,-1,clean_detected,,,45,,15,18,15,18,0.0,False,True,True
A_add_T48_ramp15_0p35_neg_u11,cusum_xsw,native,A,0.35,-1,clean_detected,,,43,,17,16,15,16,0.0,False,True,True
A_add_T48_ramp15_0p35_neg_u11,cusum_xsw,comparison,A,0.35,-1,clean_detected,,,45,,15,18,15,18,0.0,False,True,True
A_add_T48_ramp15_0p35_neg_u11,cusum_regime,native,A,0.35,-1,clean_detected,,,46,,14,19,18,19,0.0,False,True,True
A_add_T48_ramp15_0p35_neg_u11,cusum_regime,comparison,A,0.35,-1,clean_detected,,,48,,12,21,18,21,0.0,False,True,True
A_add_T48_ramp15_0p35_neg_u11,t2_xs,native,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,t2_xs,comparison,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,t2_xsw,native,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,t2_xsw,comparison,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,t2_regime,native,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,t2_regime,comparison,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,spe_xs,native,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,spe_xs,comparison,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,spe_xsw,native,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,spe_xsw,comparison,A,0.35,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p35_neg_u11,spe_regime,native,A,0.35,-1,clean_detected,,,34,,26,7,6,7,0.0,False,True,True
A_add_T48_ramp15_0p35_neg_u11,spe_regime,comparison,A,0.35,-1,clean_detected,,,36,,24,9,6,9,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,cusum_xs,native,A,0.5,1,clean_detected,,,39,,21,12,11,12,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,cusum_xs,comparison,A,0.5,1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,cusum_xsw,native,A,0.5,1,clean_detected,,,39,,21,12,11,12,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,cusum_xsw,comparison,A,0.5,1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,cusum_regime,native,A,0.5,1,clean_detected,,,43,,17,16,15,16,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,cusum_regime,comparison,A,0.5,1,clean_detected,,,45,,15,18,15,18,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,t2_xs,native,A,0.5,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_pos_u11,t2_xs,comparison,A,0.5,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p5_pos_u11,t2_xsw,native,A,0.5,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_pos_u11,t2_xsw,comparison,A,0.5,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p5_pos_u11,t2_regime,native,A,0.5,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_pos_u11,t2_regime,comparison,A,0.5,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_pos_u11,spe_xs,native,A,0.5,1,clean_detected,,,41,,19,14,13,14,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,spe_xs,comparison,A,0.5,1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,spe_xsw,native,A,0.5,1,clean_detected,,,41,,19,14,13,14,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,spe_xsw,comparison,A,0.5,1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,spe_regime,native,A,0.5,1,clean_detected,,,31,,29,4,3,4,0.0,False,True,True
A_add_T48_ramp15_0p5_pos_u11,spe_regime,comparison,A,0.5,1,clean_detected,,,33,,27,6,3,6,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,cusum_xs,native,A,0.5,-1,clean_detected,,,40,,20,13,12,13,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,cusum_xs,comparison,A,0.5,-1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,cusum_xsw,native,A,0.5,-1,clean_detected,,,40,,20,13,12,13,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,cusum_xsw,comparison,A,0.5,-1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,cusum_regime,native,A,0.5,-1,clean_detected,,,42,,18,15,14,15,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,cusum_regime,comparison,A,0.5,-1,clean_detected,,,45,,15,18,15,18,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,t2_xs,native,A,0.5,-1,miss,,,,,,,8,32,0.0,False,False,False
A_add_T48_ramp15_0p5_neg_u11,t2_xs,comparison,A,0.5,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_neg_u11,t2_xsw,native,A,0.5,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_neg_u11,t2_xsw,comparison,A,0.5,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_neg_u11,t2_regime,native,A,0.5,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_neg_u11,t2_regime,comparison,A,0.5,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p5_neg_u11,spe_xs,native,A,0.5,-1,clean_detected,,,41,,19,14,13,14,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,spe_xs,comparison,A,0.5,-1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,spe_xsw,native,A,0.5,-1,clean_detected,,,40,,20,13,12,13,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,spe_xsw,comparison,A,0.5,-1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,spe_regime,native,A,0.5,-1,clean_detected,,,32,,28,5,4,5,0.0,False,True,True
A_add_T48_ramp15_0p5_neg_u11,spe_regime,comparison,A,0.5,-1,clean_detected,,,33,,27,6,3,6,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,cusum_xs,native,A,1.0,1,clean_detected,,,35,,25,8,7,8,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,cusum_xs,comparison,A,1.0,1,clean_detected,,,36,,24,9,6,9,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,cusum_xsw,native,A,1.0,1,clean_detected,,,35,,25,8,7,8,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,cusum_xsw,comparison,A,1.0,1,clean_detected,,,36,,24,9,6,9,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,cusum_regime,native,A,1.0,1,clean_detected,,,38,,22,11,10,11,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,cusum_regime,comparison,A,1.0,1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,t2_xs,native,A,1.0,1,miss,,,,,,,19,32,0.0,False,False,False
A_add_T48_ramp15_1_pos_u11,t2_xs,comparison,A,1.0,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_1_pos_u11,t2_xsw,native,A,1.0,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_1_pos_u11,t2_xsw,comparison,A,1.0,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_1_pos_u11,t2_regime,native,A,1.0,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_1_pos_u11,t2_regime,comparison,A,1.0,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_1_pos_u11,spe_xs,native,A,1.0,1,clean_detected,,,35,,25,8,7,8,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,spe_xs,comparison,A,1.0,1,clean_detected,,,36,,24,9,6,9,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,spe_xsw,native,A,1.0,1,clean_detected,,,35,,25,8,7,8,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,spe_xsw,comparison,A,1.0,1,clean_detected,,,36,,24,9,6,9,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,spe_regime,native,A,1.0,1,clean_detected,,,30,,30,3,2,3,0.0,False,True,True
A_add_T48_ramp15_1_pos_u11,spe_regime,comparison,A,1.0,1,clean_detected,,,33,,27,6,3,6,0.0,False,True,True
A_add_T48_ramp15_1_neg_u11,cusum_xs,native,A,1.0,-1,clean_detected,,,36,,24,9,8,9,0.0,False,True,True
A_add_T48_ramp15_1_neg_u11,cusum_xs,comparison,A,1.0,-1,clean_detected,,,39,,21,12,9,12,0.0,False,True,True
A_add_T48_ramp15_1_neg_u11,cusum_xsw,native,A,1.0,-1,clean_detected,,,36,,24,9,8,9,0.0,False,True,True
A_add_T48_ramp15_1_neg_u11,cusum_xsw,comparison,A,1.0,-1,clean_detected,,,39,,21,12,9,12,0.0,False,True,True
A_add_T48_ramp15_1_neg_u11,cusum_regime,native,A,1.0,-1,clean_detected,,,38,,22,11,10,11,0.0,False,True,True
A_add_T48_ramp15_1_neg_u11,cusum_regime,comparison,A,1.0,-1,clean_detected,,,39,,21,12,9,12,0.0,False,True,True
A_add_T48_ramp15_1_neg_u11,t2_xs,native,A,1.0,-1,miss,,,,,,,8,32,0.0,False,False,False
A_add_T48_ramp15_1_neg_u11,t2_xs,comparison,A,1.0,-1,miss,,,,,,,15,32,0.0,False,False,False
A_add_T48_ramp15_1_neg_u11,t2_xsw,native,A,1.0,-1,miss,,,,,,,8,32,0.0,False,False,False
