unit,scenario_id,type,sensor,param,dir,timing_p,tau_s,T_u,n_after,delta_mean,delta_p50,delta_p95,delta_max,saturated,frac_gt_7.18,frac_gt_9.4,frac_gt_13.3,frac_gt_14.4
32,multiI_T24+T30+T50_a0.3_na_p0.6,multi_I,T24+T30+T50,0.3,na,0.6,137,191,55,1.6905024008317426,1.560621738433838,2.9324779510498042,3.150461196899414,False,0.0,0.0,0.0,0.0
32,multiI_T24+T30+T50_a0.3_na_p0.8,multi_I,T24+T30+T50,0.3,na,0.8,164,191,28,0.8739018951143537,0.9455971717834473,1.7018454551696776,1.9708671569824219,False,0.0,0.0,0.0,0.0
32,multiI_T24+T30+T50_a0.5_na_p0.2,multi_I,T24+T30+T50,0.5,na,0.2,82,191,110,1.4762744253331965,1.2279739379882812,3.3215969085693358,4.453891754150391,False,0.0,0.0,0.0,0.0
32,multiI_T24+T30+T50_a0.5_na_p0.4,multi_I,T24+T30+T50,0.5,na,0.4,109,191,83,4.000347258096718,3.446361541748047,9.235227966308594,10.199542999267578,False,0.1566265060240964,0.04819277108433735,0.0,0.0
32,multiI_T24+T30+T50_a0.5_na_p0.6,multi_I,T24+T30+T50,0.5,na,0.6,137,191,55,3.2986416816711426,2.476797103881836,7.438585662841796,11.535224914550781,False,0.07272727272727272,0.01818181818181818,0.0,0.0
32,multiI_T24+T30+T50_a0.5_na_p0.8,multi_I,T24+T30+T50,0.5,na,0.8,164,191,28,3.211389814104353,3.4756174087524414,5.574366188049316,5.899368762969971,False,0.0,0.0,0.0,0.0
32,noise_T24_b1.0_na_p0.2,noise,T24,1.0,na,0.2,82,191,110,3.863636524027044,3.0677032470703125,8.82074451446533,13.384613037109375,False,0.20909090909090908,0.03636363636363636,0.00909090909090909,0.0
32,noise_T24_b1.0_na_p0.4,noise,T24,1.0,na,0.4,109,191,83,4.860165998160121,3.2735366821289062,14.399215698242188,17.10265350341797,False,0.27710843373493976,0.1686746987951807,0.08433734939759036,0.04819277108433735
32,noise_T24_b1.0_na_p0.6,noise,T24,1.0,na,0.6,137,191,55,2.2707977641712533,1.8933377265930176,5.563616943359373,7.383049011230469,False,0.01818181818181818,0.0,0.0,0.0
32,noise_T24_b1.0_na_p0.8,noise,T24,1.0,na,0.8,164,191,28,1.2573356969015939,0.9422922134399414,3.4118795633316013,5.320699214935303,False,0.0,0.0,0.0,0.0
32,noise_T24_b2.0_na_p0.2,noise,T24,2.0,na,0.2,82,191,110,8.958858858455311,6.259183883666992,24.249423980712884,31.522735595703125,False,0.4818181818181818,0.4,0.21818181818181817,0.20909090909090908
32,noise_T24_b2.0_na_p0.4,noise,T24,2.0,na,0.4,109,191,83,7.450519395161824,6.470991134643555,15.241685867309565,19.793689727783203,False,0.4578313253012048,0.3132530120481928,0.13253012048192772,0.0963855421686747
32,noise_T24_b2.0_na_p0.6,noise,T24,2.0,na,0.6,137,191,55,5.7104653705250135,5.779422283172607,12.265268516540523,17.431156635284424,False,0.34545454545454546,0.2,0.03636363636363636,0.03636363636363636
32,noise_T24_b2.0_na_p0.8,noise,T24,2.0,na,0.8,164,191,28,3.8758123091288974,3.6954495906829834,7.186563086509704,7.668611526489258,False,0.07142857142857142,0.0,0.0,0.0
32,noise_T24_b3.0_na_p0.2,noise,T24,3.0,na,0.2,82,191,110,13.640973797711458,12.618146896362305,28.486270475387574,31.65753173828125,False,0.7,0.6090909090909091,0.45454545454545453,0.42727272727272725
32,noise_T24_b3.0_na_p0.4,noise,T24,3.0,na,0.4,109,191,83,19.269011865179223,15.007217407226562,43.930450439453125,48.02145004272461,False,0.7228915662650602,0.6867469879518072,0.5662650602409639,0.5301204819277109
32,noise_T24_b3.0_na_p0.6,noise,T24,3.0,na,0.6,137,191,55,7.135751854289662,6.201652526855469,17.10103816986084,20.741840362548828,False,0.36363636363636365,0.2727272727272727,0.10909090909090909,0.10909090909090909
32,noise_T24_b3.0_na_p0.8,noise,T24,3.0,na,0.8,164,191,28,5.759625928742545,4.677923202514648,11.895784378051756,15.799285411834717,False,0.2857142857142857,0.21428571428571427,0.03571428571428571,0.03571428571428571
32,noise_T30_b1.0_na_p0.2,noise,T30,1.0,na,0.2,82,191,110,0.7823260870846835,0.4503059387207031,2.3341144561767577,7.0316619873046875,False,0.0,0.0,0.0,0.0
32,noise_T30_b1.0_na_p0.4,noise,T30,1.0,na,0.4,109,191,83,0.9320794703012489,0.75408935546875,2.7554336547851532,3.3125457763671875,False,0.0,0.0,0.0,0.0
32,noise_T30_b1.0_na_p0.6,noise,T30,1.0,na,0.6,137,191,55,0.7344115170565518,0.6561412811279297,1.9480676174163818,2.0022621154785156,False,0.0,0.0,0.0,0.0
32,noise_T30_b1.0_na_p0.8,noise,T30,1.0,na,0.8,164,191,28,0.7573390347617013,0.5230436325073242,2.1575123786926267,2.683516502380371,False,0.0,0.0,0.0,0.0
32,noise_T30_b2.0_na_p0.2,noise,T30,2.0,na,0.2,82,191,110,3.0107962521639737,1.958036184310913,9.055893516540527,13.660614013671875,False,0.11818181818181818,0.045454545454545456,0.00909090909090909,0.0
32,noise_T30_b2.0_na_p0.4,noise,T30,2.0,na,0.4,109,191,83,1.5589560083596103,1.1929664611816406,3.644049167633056,4.393136978149414,False,0.0,0.0,0.0,0.0
32,noise_T30_b2.0_na_p0.6,noise,T30,2.0,na,0.6,137,191,55,0.8710216955705122,0.799041748046875,2.072642469406126,2.743915557861328,False,0.0,0.0,0.0,0.0
32,noise_T30_b2.0_na_p0.8,noise,T30,2.0,na,0.8,164,191,28,1.2653782878603255,1.0538835525512695,3.456493496894836,3.6148319244384766,False,0.0,0.0,0.0,0.0
32,noise_T30_b3.0_na_p0.2,noise,T30,3.0,na,0.2,82,191,110,2.4629019953987816,1.6235237121582031,6.858784198760985,9.797554016113281,False,0.045454545454545456,0.00909090909090909,0.0,0.0
32,noise_T30_b3.0_na_p0.4,noise,T30,3.0,na,0.4,109,191,83,3.2898080550044417,2.3673095703125,7.435682153701782,13.489725112915039,False,0.08433734939759036,0.024096385542168676,0.012048192771084338,0.0
32,noise_T30_b3.0_na_p0.6,noise,T30,3.0,na,0.6,137,191,55,1.3466666698455811,0.9278354644775391,3.5594200134277334,4.541633605957031,False,0.0,0.0,0.0,0.0
32,noise_T30_b3.0_na_p0.8,noise,T30,3.0,na,0.8,164,191,28,2.289166041782924,2.08965802192688,4.34255268573761,7.537120819091797,False,0.03571428571428571,0.0,0.0,0.0
32,noise_T50_b1.0_na_p0.2,noise,T50,1.0,na,0.2,82,191,110,5.193811464309692,3.092823028564453,15.331671333312988,20.777420043945312,False,0.3,0.21818181818181817,0.07272727272727272,0.06363636363636363
32,noise_T50_b1.0_na_p0.4,noise,T50,1.0,na,0.4,109,191,83,2.555215565555067,1.6772232055664062,7.131686401367186,12.948843002319336,False,0.04819277108433735,0.012048192771084338,0.0,0.0
32,noise_T50_b1.0_na_p0.6,noise,T50,1.0,na,0.6,137,191,55,1.9901840816844594,1.2424468994140625,5.245109176635741,5.902240753173828,False,0.0,0.0,0.0,0.0
32,noise_T50_b1.0_na_p0.8,noise,T50,1.0,na,0.8,164,191,28,1.023608957018171,0.9339256286621094,2.7314029932022095,3.2437381744384766,False,0.0,0.0,0.0,0.0
32,noise_T50_b2.0_na_p0.2,noise,T50,2.0,na,0.2,82,191,110,11.59554296840321,6.769655227661133,32.05403842926025,36.89510726928711,False,0.4909090909090909,0.43636363636363634,0.38181818181818183,0.36363636363636365
32,noise_T50_b2.0_na_p0.4,noise,T50,2.0,na,0.4,109,191,83,3.4590795241206527,2.962310791015625,9.856322097778317,13.438972473144531,False,0.12048192771084337,0.07228915662650602,0.012048192771084338,0.0
32,noise_T50_b2.0_na_p0.6,noise,T50,2.0,na,0.6,137,191,55,2.9972652088512075,2.2754993438720703,7.661065101623531,10.397266387939453,False,0.07272727272727272,0.03636363636363636,0.0,0.0
32,noise_T50_b2.0_na_p0.8,noise,T50,2.0,na,0.8,164,191,28,1.9430561917168754,1.4371557235717773,4.61948366165161,5.091632843017578,False,0.0,0.0,0.0,0.0
32,noise_T50_b3.0_na_p0.2,noise,T50,3.0,na,0.2,82,191,110,17.04332046508789,14.723038673400879,38.63887195587158,54.090755462646484,False,0.6727272727272727,0.5727272727272728,0.5181818181818182,0.5
32,noise_T50_b3.0_na_p0.4,noise,T50,3.0,na,0.4,109,191,83,9.060666003859186,6.047845840454102,28.85098037719726,33.68292999267578,False,0.40963855421686746,0.3493975903614458,0.2891566265060241,0.27710843373493976
32,noise_T50_b3.0_na_p0.6,noise,T50,3.0,na,0.6,137,191,55,4.851500450481068,4.978839874267578,12.498571252822874,15.548858642578125,False,0.2,0.09090909090909091,0.01818181818181818,0.01818181818181818
32,noise_T50_b3.0_na_p0.8,noise,T50,3.0,na,0.8,164,191,28,1.5171290976660592,1.3155841827392578,3.603009819984436,3.6513547897338867,False,0.0,0.0,0.0,0.0
32,stuck_T24_na_na_p0.2,stuck,T24,,na,0.2,82,191,110,6.17934063131159,5.053432464599609,14.083649826049802,20.162952423095703,False,0.33636363636363636,0.20909090909090908,0.08181818181818182,0.045454545454545456
32,stuck_T24_na_na_p0.4,stuck,T24,,na,0.4,109,191,83,26.278887294861207,24.399169921875,48.50830154418945,57.23275375366211,False,0.9397590361445783,0.927710843373494,0.8313253012048193,0.7349397590361446
32,stuck_T24_na_na_p0.6,stuck,T24,,na,0.6,137,191,55,7.874794587222013,8.395515441894531,11.084750938415526,11.718441009521484,False,0.7454545454545455,0.3090909090909091,0.0,0.0
32,stuck_T24_na_na_p0.8,stuck,T24,,na,0.8,164,191,28,2.1445451293672835,2.2371678352355957,4.1829970359802235,4.377737522125244,False,0.0,0.0,0.0,0.0
32,stuck_T30_na_na_p0.2,stuck,T30,,na,0.2,82,191,110,3.386231092973189,3.171173095703125,6.813906192779541,8.936729431152344,False,0.045454545454545456,0.0,0.0,0.0
32,stuck_T30_na_na_p0.4,stuck,T30,,na,0.4,109,191,83,1.8798407301845321,1.3621673583984375,4.410054636001587,6.533353328704834,False,0.0,0.0,0.0,0.0
32,stuck_T30_na_na_p0.6,stuck,T30,,na,0.6,137,191,55,1.484523868560791,1.2448596954345703,3.550249433517453,5.000932216644287,False,0.0,0.0,0.0,0.0
32,stuck_T30_na_na_p0.8,stuck,T30,,na,0.8,164,191,28,0.2535241331372942,0.15452003479003906,0.8011385917663569,1.1335906982421875,False,0.0,0.0,0.0,0.0
32,stuck_T50_na_na_p0.2,stuck,T50,,na,0.2,82,191,110,4.1123541225086555,3.5303726196289062,9.113424682617188,10.87152099609375,False,0.15454545454545454,0.02727272727272727,0.0,0.0
32,stuck_T50_na_na_p0.4,stuck,T50,,na,0.4,109,191,83,2.0143068842141023,1.4651150703430176,5.424171066284179,8.478363037109375,False,0.012048192771084338,0.0,0.0,0.0
32,stuck_T50_na_na_p0.6,stuck,T50,,na,0.6,137,191,55,0.7905721404335716,0.6090736389160156,1.9606208801269531,2.4566421508789062,False,0.0,0.0,0.0,0.0
32,stuck_T50_na_na_p0.8,stuck,T50,,na,0.8,164,191,28,0.7267855746405465,0.7150611877441406,1.509940719604492,2.2174911499023438,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.3_neg_p0.2,bias,T24,0.3,neg,0.2,90,231,142,2.784600452638008,2.4996089935302734,6.734984207153319,9.771781921386719,True,0.035211267605633804,0.014084507042253521,0.0,0.0
48,bias_T24_a0.3_neg_p0.4,bias,T24,0.3,neg,0.4,125,231,107,2.5101452675935265,2.5728759765625,6.2781135559081935,9.548507690429688,False,0.028037383177570093,0.009345794392523364,0.0,0.0
48,bias_T24_a0.3_neg_p0.6,bias,T24,0.3,neg,0.6,161,231,71,2.053002760443889,1.6674385070800781,4.323280334472656,4.4599761962890625,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.3_neg_p0.8,bias,T24,0.3,neg,0.8,196,231,36,1.1980245576964483,1.4028549194335938,1.810704231262207,2.162515640258789,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.3_pos_p0.2,bias,T24,0.3,pos,0.2,90,231,142,2.9961216584057877,2.5766048431396484,7.838483428955078,11.436080932617188,True,0.07746478873239436,0.028169014084507043,0.0,0.0
48,bias_T24_a0.3_pos_p0.4,bias,T24,0.3,pos,0.4,125,231,107,2.593113903687379,2.3685760498046875,6.5365142822265625,10.374458312988281,False,0.028037383177570093,0.009345794392523364,0.0,0.0
48,bias_T24_a0.3_pos_p0.6,bias,T24,0.3,pos,0.6,161,231,71,1.8794994555728537,1.6156272888183594,3.7358055114746094,4.022834777832031,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.3_pos_p0.8,bias,T24,0.3,pos,0.8,196,231,36,1.1251058048672147,1.2894659042358398,1.9067840576171875,1.9307079315185547,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.5_neg_p0.2,bias,T24,0.5,neg,0.2,90,231,142,4.505531436960462,4.038982391357422,10.492309570312496,16.076499938964844,True,0.15492957746478872,0.08450704225352113,0.014084507042253521,0.007042253521126761
48,bias_T24_a0.5_neg_p0.4,bias,T24,0.5,neg,0.4,125,231,107,4.177087754846733,4.230873107910156,9.544623565673811,14.101676940917969,False,0.14018691588785046,0.056074766355140186,0.037383177570093455,0.0
