unit,scenario_id,type,sensor,param,timing_p,tau_s,T_u,t_exit,pos_in_life,yhat_clean_at_exit,delta_at_exit,delta_min_after20,degraded_len_before,reentry_within_20,reentry_gap,is_final_exit,pattern
1,gain_T50_a2.0_neg_p0.6,gain,T50,2.0,0.6,137,192,179,0.9322916666666666,9.159696578979492,4.601795196533203,0.17483758926391602,24,False,,True,B
1,gain_T50_a2.0_pos_p0.2,gain,T50,2.0,0.2,82,192,183,0.953125,8.801010131835938,3.1291565895080566,0.042082786560058594,84,False,,True,B
1,gain_T50_a2.0_pos_p0.4,gain,T50,2.0,0.4,110,192,130,0.6770833333333334,60.60620880126953,0.4965324401855469,0.006015777587890625,17,False,,False,C
1,gain_T50_a2.0_pos_p0.4,gain,T50,2.0,0.4,110,192,183,0.953125,8.801010131835938,3.1291565895080566,0.042082786560058594,31,False,,True,B
1,gain_T50_a2.0_pos_p0.6,gain,T50,2.0,0.6,137,192,183,0.953125,8.801010131835938,3.1291565895080566,0.042082786560058594,21,False,,True,B
1,multiC_T24+T30+T50_a0.3_na_p0.2,multi_C,T24+T30+T50,0.3,0.2,82,192,151,0.7864583333333334,49.125579833984375,4.392917633056641,1.6092720031738281,59,False,,True,C
1,multiC_T24+T30+T50_a0.3_na_p0.4,multi_C,T24+T30+T50,0.3,0.4,110,192,153,0.796875,43.85649108886719,4.381259918212891,1.597787857055664,36,False,,True,C
1,multiC_T24+T30+T50_a0.5_na_p0.2,multi_C,T24+T30+T50,0.5,0.2,82,192,163,0.8489583333333334,27.417173385620117,4.199972152709961,2.225971221923828,73,False,,True,C
1,multiC_T24+T30+T50_a0.5_na_p0.4,multi_C,T24+T30+T50,0.5,0.4,110,192,163,0.8489583333333334,27.417173385620117,4.199972152709961,2.225971221923828,50,False,,True,C
1,multiC_T24+T30+T50_a0.5_na_p0.6,multi_C,T24+T30+T50,0.5,0.6,137,192,172,0.8958333333333334,14.701148986816406,4.600423812866211,0.38941431045532227,29,False,,True,C
1,multiI_T24+T30+T50_a0.3_na_p0.2,multi_I,T24+T30+T50,0.3,0.2,82,192,151,0.7864583333333334,49.125579833984375,2.9011611938476562,0.44180870056152344,58,False,,True,C
1,noise_T24_b1.0_na_p0.2,noise,T24,1.0,0.2,82,192,121,0.6302083333333334,98.58238220214844,2.6414260864257812,0.2060089111328125,8,False,,True,A
1,noise_T24_b2.0_na_p0.2,noise,T24,2.0,0.2,82,192,149,0.7760416666666666,57.3230094909668,1.68072509765625,0.039707183837890625,54,True,9.0,False,A
1,noise_T24_b2.0_na_p0.2,noise,T24,2.0,0.2,82,192,178,0.9270833333333334,9.706527709960938,3.3672690391540527,0.06424903869628906,20,False,,True,B
1,noise_T24_b2.0_na_p0.4,noise,T24,2.0,0.4,110,192,156,0.8125,38.49272155761719,0.9367637634277344,0.0958251953125,46,False,,True,C
1,noise_T24_b2.0_na_p0.6,noise,T24,2.0,0.6,137,192,165,0.859375,22.949012756347656,0.11319732666015625,0.11319732666015625,13,False,,True,C
